	Goi	Control	Deleted_controls
Main4_Th1_signature	['Th1_cells']	['Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells']	['CD4_T_cells', 'CD4_T_helpers', 'Th1_cells', 'T_cells', 'Memory_CD4_T_cells']
Main4_CD8_T_cells	['CD8_T_cells']	['CD4_T_cells', 'Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'Memory_CD4_T_cells']	['MAIT_cells', 'Memory_CD8_T_cells', 'T_cells', 'CD8_T_cells', 'CD8_T_cells_PD1_high']
Main4_Treg	['Tregs']	['Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'B_cells', 'Endothelium', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells']	['CD4_T_cells', 'Tregs', 'T_cells', 'Memory_CD4_T_cells']
Main4_Neutrophil_signature	['Neutrophils']	['CD4_T_cells', 'Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'T_cells', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Neutrophils', 'Myeloid_cells']
Main4_Mast_cell_signature	['Mast_cells']	['CD4_T_cells', 'Monocytes', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'T_cells', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Mast_cells', 'Myeloid_cells']
Main4_Effector_cells	['CD8_T_cells', 'NK_cells']	['CD4_T_cells', 'Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'Memory_CD4_T_cells']	['NK_cells', 'CD8_T_cells', 'T_cells']
Main4_Eosinophil_signature	['Eosinophils']	['CD4_T_cells', 'Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'T_cells', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Eosinophils', 'Myeloid_cells']
Main4_Follicular_helper_T_cells	['Follicular_T_helper_tonsil']	['Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells']	['CD4_T_cells', 'CD4_T_helpers', 'Follicular_T_helper_tonsil', 'T_cells', 'Memory_CD4_T_cells']
Main4_B_cells	['B_cells']	['CD4_T_cells', 'Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'T_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Plasmablasts', 'Non_plasma_B_cells', 'Plasma_B_cells', 'B_cells']
Main4_Endothelium	['Endothelium']	['CD4_T_cells', 'Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'T_cells', 'B_cells', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Endothelium_lymph', 'Endothelium']
Main4_Pan_macrophage_signature	['Macrophages']	['CD4_T_cells', 'Mast_cells', 'PD1_CD4_T_cells', 'Plasmablasts', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'T_cells', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Monocytes', 'Macrophages_M1', 'Macrophages', 'Myeloid_cells', 'Macrophages_M2']
Main4_NK_cells	['NK_cells']	['CD4_T_cells', 'Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'T_cells', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['NK_cells']
Main4_M2_signature	['Macrophages_M2']	['CD4_T_cells', 'Mast_cells', 'PD1_CD4_T_cells', 'Plasmablasts', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'T_cells', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Myeloid_cells', 'Macrophages_M2', 'Monocytes', 'Macrophages']
Main4_T_cells	['T_cells']	['Monocytes', 'Mast_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'Dendritic_cells', 'Bronchial_cells', 'MSC', 'Non_plasma_B_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'B_cells', 'Endothelium', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Macrophages_M2', 'Monocytic_DC']	['CD4_T_cells', 'PD1_CD4_T_cells', 'CD4_T_helpers', 'Tregs', 'Th17_cells', 'Memory_CD8_T_cells', 'Follicular_T_helper_tonsil', 'Th2_cells', 'Th1_cells', 'T_cells', 'CD8_T_cells', 'CD8_T_cells_PD1_high', 'Memory_CD4_T_cells']
Main4_CD4_T_cells	['CD4_T_cells', 'CD4_T_helpers']	['Monocytes', 'Mast_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'Dendritic_cells', 'Bronchial_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'B_cells', 'Endothelium', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['CD4_T_cells', 'PD1_CD4_T_cells', 'CD4_T_helpers', 'Tregs', 'Th17_cells', 'Follicular_T_helper_tonsil', 'Th1_cells', 'T_cells']
Main4_Lymphatic_endothelium	['Endothelium_lymph']	['CD4_T_cells', 'Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'T_cells', 'B_cells', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Endothelium_lymph', 'Endothelium']
Main4_Th17_signature	['Th17_cells']	['Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Plasmablasts', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'Dendritic_cells', 'Bronchial_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells']	['CD4_T_cells', 'CD4_T_helpers', 'Th17_cells', 'T_cells', 'Memory_CD4_T_cells']
Main4_Plasma_cells	['Plasma_B_cells', 'Plasmablasts']	['CD4_T_cells', 'Monocytes', 'Mast_cells', 'PD1_CD4_T_cells', 'Macrophages', 'Myeloid_cells', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Macrophages_M1', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'T_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'Macrophages_M2', 'Monocytic_DC', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Plasmablasts', 'Plasma_B_cells', 'B_cells']
Main4_Monocyte	['Monocytes']	['CD4_T_cells', 'Mast_cells', 'PD1_CD4_T_cells', 'Plasmablasts', 'iPSC', 'Keratinocytes', 'NK_cells', 'CD8_T_cells_PD1_high', 'Epithelium', 'Eosinophils', 'Neutrophils', 'Fibroblast_line', 'CD4_T_helpers', 'Dendritic_cells', 'Bronchial_cells', 'Th17_cells', 'Memory_CD8_T_cells', 'MSC', 'Non_plasma_B_cells', 'Th1_cells', 'Pancreatic_cells', 'Endothelium_lymph', 'T_cells', 'B_cells', 'Endothelium', 'Tregs', 'Hepatocytes', 'Plasma_B_cells', 'Cardiac_myofibroblasts', 'Th2_cells', 'Follicular_T_helper', 'Neurons', 'Fibroblasts', 'MAIT_cells', 'Astrocytes', 'Follicular_T_helper_tonsil', 'CD8_T_cells', 'Memory_CD4_T_cells']	['Monocytes', 'Macrophages_M1', 'Macrophages', 'Myeloid_cells', 'Macrophages_M2', 'Monocytic_DC']
